UPC,avaliacao,categoria,data,disponivel,nome,preco,quantidade,url
a897fe39b1053632,3.0,Poetry,2019-11-17T17:46:59.209814,True,A Light in the Attic,51.77,22,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
a34ba96d4081e6a4,5.0,Music,2019-11-17T17:47:02.996108,True,Rip it Up and Start Again,35.02,19,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
3b1c02bac2a429e6,5.0,Sequential Art,2019-11-17T17:47:05.159244,True,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
ce6396b0f23f6ecc,5.0,Young Adult,2019-11-17T17:47:07.067571,True,Set Me Free,17.46,19,http://books.toscrape.com/catalogue/set-me-free_988/index.html
30a7f60cd76ca58c,4.0,Poetry,2019-11-17T17:47:07.873809,True,Shakespeare's Sonnets,20.66,19,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
0312262ecafa5a40,2.0,Default,2019-11-17T17:47:08.617912,True,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
1dfe412b8ac00530,1.0,Poetry,2019-11-17T17:47:09.227583,True,The Black Maria,52.15,19,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
e72a5dfc7e9267b2,3.0,Default,2019-11-17T17:47:10.925080,True,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
2597b5a345f45e1b,4.0,Business,2019-11-17T17:47:11.315291,True,The Dirty Little Secrets of Getting Your Dream Job,33.34,19,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
e10e1e165dc8be4a,4.0,Default,2019-11-17T17:47:11.489315,True,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,19,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
f77dbf2323deb740,1.0,Young Adult,2019-11-17T17:47:12.037341,True,The Requiem Red,22.65,19,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
4165285e1663650f,5.0,History,2019-11-17T17:47:12.727190,True,Sapiens: A Brief History of Humankind,54.23,20,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
